"Qty";"Value";"Device";"Package";"Parts";"Description";"3D_HEIGHT";"3D_INFO";"AECQ";"BAUART";"BR_INFO_1";"BR_INFO_2";"BR_INFO_3";"BR_LIEF_1";"BR_LIEF_2";"BR_MAT";"BR_VALUE";"HER_MAT";"TEC_MAT";"ZFREIGABE";
"1";"0805_2K";"0805_2K";"0805_R";"R3";"0805 SMD Widerstände Standard";"0.6";"R";"";"SMD";"0,125W";"1%";"";"Schukat, RL0805K002.0-1";"";"RM-xxx";"2k";"frei";"";"";
"1";"0805_3K3";"0805_3K3";"0805_R";"R7";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Farnell, 1469911";"";"RM-01-100020";"3k3";"frei";"2355.0004.00";"";
"1";"0805_470K";"0805_470K";"0805_R";"R8";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Schukat, CR0805K470-1";"";"RM-01-100022";"470k";"frei";"2355.0030.00 ";"";
"3";"0805_470R";"0805_470R";"0805_R";"R19, R20, R21";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Schukat, CR0805E470-1";"";"RM-01-100023";"470R";"frei";"";"";
"1";"0805_4M7";"0805_4M7";"0805_R";"R18";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Schukat, CR0805M004.7-1";"";"RM-01-100024";"4M7";"frei";"";"";
"1";"0805_56K";"0805_56K";"0805_R";"R29";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Schukat, CR0805K056-1";"";"RM-01-100026";"56k";"frei";"2355.0016.00";"";
"2";"0805_5K6";"0805_5K6";"0805_R";"R22, R24";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Schukat, CR0805K005.6-1";"";"RM-01-100027";"5k6";"frei";"";"";
"1";"1206_22UF";"1206_22UF";"1206_R";"C35";"1206 Keramikkondensatoren";"1.8";"C";"";"SMD";"6,3V/10%";"X7R";" ";"Farnell, 1657942";"";"CC-02-100009";"22uF";"";"";"";
"4";"1808_";"1808_";"1808_R";"C17, C18, C32, C33";"1808 Keramikkondensatoren";"";"C";"";"";" ";" ";" ";"";"";"";"n.b.";"";"";"";
"8";"1808_2,2NF";"1808_2,2NF";"1808_R";"C4, C5, C14, C16, C39, C40, C41, C42";"1808 Keramikkondensatoren";"2.2";"C";"";"SMD";"2kV/10%";"X7R";" ";"Farnell, 1886067";"Mouser, 605-202R29W222KV4E";"CC-02-100010";"2,2nF";"JOH, 202R29W222KV4E";"";"";
"4";"2512_";"2512_";"2512_R";"R37, R38, R39, R40";"2512 SMD Widerstände Standard";"";"R";"";"SMD";" ";" ";" ";"";"";"";"n.b.";"";"";"";
"1";"2512_0R005";"2512_0R005";"2512_R";"R1";"2512 SMD Widerstände Standard";"0.7";"R";"yes";"SMD";"1W";"1%";" ";"Farnell, 2112795";"Mouser, 71-WSL25125L000FEA";"RM-01-100028";"0R005";"VHY, WSL25125L000FEA";"";"";
"1";"5.0SMDJ_5.0SMDJ30A_";"5.0SMDJ_5.0SMDJ30A_";"DO-214AB(SMC)_UNI_R";"D7";"DO-214AB SMD TVS Diode";"2.6";"";"yes";"SMD";"30V";"5kW";"";"Mouser, 652-5.0SMDJ30A-Q";"Mouser, 821-5.0SMDJ30AHM6G";"DU-01-100000";"5.0SMDJ30A";"Bourns, 5.0SMDJ30A-Q | Taiwan, 5.0SMDJ30AHM6G";"1035.0058.00";"";
"1";"7805__SOT89R";"7805__SOT89R";"SOT89R";"U5";"SOT89 Festspannungsregler";"";"";"";"";" ";" ";" ";"";"";"";"n.b.";"";"";"";
"1";"ACPL-C87X_";"ACPL-C87X_";"SSOIC8R";"U4";"SOIC8 Trennverstärker";"";"";"";"";" ";" ";" ";"";"";"";"n.b.";"";"";"";
"1";"ATMEL_ATTINY25-45-85ATTINY85-20SU";"ATMEL_ATTINY25-45-85ATTINY85-20SU";"SOIC8R_M";"V4";"SOIC8 Mikrocontroller";"2.2";"";"";"SMD";"20MHz/8k";"2,7-5,5V";"-40 - 85°C";"Farnell, 1455164";"";"ID-01-100000";"ATtiny85-20";"Atmel, ATTINY85-20SU";"";"";
